Pair_ID,bert_precision,bert_recall,bert_f1
1,0.8560566902160645,0.8368401527404785,0.8463393449783325
2,0.8520520925521851,0.8758681416511536,0.8637959361076355
3,0.8460932970046997,0.8363577127456665,0.8411973118782043
4,0.8539585471153259,0.8450933694839478,0.8495028018951416
5,0.8699557185173035,0.8718730807304382,0.8709133267402649
6,0.8527253866195679,0.866340696811676,0.8594790697097778
7,0.8445688486099243,0.8407515287399292,0.8426558971405029
8,0.8434449434280396,0.8459298610687256,0.8446855545043945
9,0.8685377240180969,0.8651745319366455,0.866852879524231
10,0.8546720743179321,0.8388141393661499,0.8466688394546509
