Pair_ID,bert_precision,bert_recall,bert_f1
1,0.8748942613601685,0.8288699984550476,0.8512604832649231
2,0.8919285535812378,0.882588267326355,0.8872338533401489
3,0.8598548173904419,0.831462025642395,0.8454200625419617
4,0.8860613107681274,0.8415248990058899,0.8632190227508545
5,0.8871093988418579,0.8389908671379089,0.8623794913291931
6,0.8832403421401978,0.8611423373222351,0.8720514178276062
7,0.8927751183509827,0.8329679369926453,0.8618351817131042
8,0.8730382919311523,0.8353219628334045,0.8537638187408447
9,0.8907193541526794,0.850064754486084,0.8699172735214233
10,0.8934480547904968,0.8386789560317993,0.8651976585388184
